index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
0,cheap restaurant,inform_pricerange,0,"['B-pricerange', 'O']","[0, 1]","['cheap', 'restaurant']","{'text': 'недорогой ресторан', 'to': 'ru', 'alignment': {'proj': '0:4-0:8 6:15-10:17'}}",1,недорогой ресторан,0:4-0:8 6:15-10:17,"{'0:4': ['cheap', 'B-pricerange', 0], '6:15': ['restaurant', 'O', 1]}","{0: ['cheap', 'B-pricerange', 0], 6: ['restaurant', 'O', 1]}","{'0:8': '0:4', '10:17': '6:15'}","{0: 0, 10: 6}","['B-pricerange', 'O']","[0, 1]","['B-pricerange', 'O']","[0, 1]"
1,any,inform_this,1,['O'],[1],['any'],"{'text': 'любой', 'to': 'ru', 'alignment': {'proj': '0:2-0:4'}}",1,любой,0:2-0:4,"{'0:2': ['any', 'O', 1]}","{0: ['any', 'O', 1]}",{'0:4': '0:2'},{0: 0},['O'],[1],['O'],[1]
2,south,inform_area,2,['B-area'],[2],['south'],"{'text': 'Юг', 'to': 'ru', 'alignment': {'proj': '0:4-0:1'}}",1,Юг,0:4-0:1,"{'0:4': ['south', 'B-area', 2]}","{0: ['south', 'B-area', 2]}",{'0:1': '0:4'},{0: 0},['B-area'],[2],['B-area'],[2]
3,address,request_addr,3,['O'],[1],['address'],"{'text': 'адрес', 'to': 'ru', 'alignment': {'proj': '0:6-0:4'}}",1,адрес,0:6-0:4,"{'0:6': ['address', 'O', 1]}","{0: ['address', 'O', 1]}",{'0:4': '0:6'},{0: 0},['O'],[1],['O'],[1]
4,phone number,request_phone,4,"['O', 'O']","[1, 1]","['phone', 'number']","{'text': 'номер телефона', 'to': 'ru', 'alignment': {'proj': '0:4-6:13 6:11-0:4'}}",1,номер телефона,0:4-6:13 6:11-0:4,"{'0:4': ['phone', 'O', 1], '6:11': ['number', 'O', 1]}","{0: ['phone', 'O', 1], 6: ['number', 'O', 1]}","{'6:13': '0:4', '0:4': '6:11'}","{6: 0, 0: 6}",['O'],['O'],"['O', 'O']","[1, 1]"
5,thank you good bye,bye__thankyou,5,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['thank', 'you', 'good', 'bye']","{'text': 'спасибо до свидания', 'to': 'ru', 'alignment': {'proj': '0:4-0:6 6:8-8:9 15:17-11:18'}}",1,спасибо до свидания,0:4-0:6 6:8-8:9 15:17-11:18,"{'0:4': ['thank', 'O', 1], '6:8': ['you', 'O', 1], '10:13': ['good', 'O', 1], '15:17': ['bye', 'O', 1]}","{0: ['thank', 'O', 1], 6: ['you', 'O', 1], 10: ['good', 'O', 1], 15: ['bye', 'O', 1]}","{'0:6': '0:4', '8:9': '6:8', '11:18': '15:17'}","{0: 0, 8: 6, 11: 15}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
6,gastropub,inform_food,6,['B-food'],[3],['gastropub'],"{'text': 'гастропаб', 'to': 'ru', 'alignment': {'proj': '0:8-0:8'}}",1,гастропаб,0:8-0:8,"{'0:8': ['gastropub', 'B-food', 3]}","{0: ['gastropub', 'B-food', 3]}",{'0:8': '0:8'},{0: 0},['B-food'],[3],['B-food'],[3]
7,gastropub food,inform_food,6,"['B-food', 'O']","[3, 1]","['gastropub', 'food']","{'text': 'гастропаб еда', 'to': 'ru', 'alignment': {'proj': '0:8-0:8 10:13-10:12'}}",1,гастропаб еда,0:8-0:8 10:13-10:12,"{'0:8': ['gastropub', 'B-food', 3], '10:13': ['food', 'O', 1]}","{0: ['gastropub', 'B-food', 3], 10: ['food', 'O', 1]}","{'0:8': '0:8', '10:12': '10:13'}","{0: 0, 10: 10}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
8,what is the address,request_addr,3,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['what', 'is', 'the', 'address']","{'text': 'какой адрес', 'to': 'ru', 'alignment': {'proj': '0:3-0:4 12:18-6:10'}}",1,какой адрес,0:3-0:4 12:18-6:10,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:18': ['address', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['address', 'O', 1]}","{'0:4': '0:3', '6:10': '12:18'}","{0: 0, 6: 12}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O']","[1, 1]"
9,sil,unknown,7,['O'],[1],['sil'],"{'text': 'сил', 'to': 'ru', 'alignment': {'proj': '0:2-0:2'}}",1,сил,0:2-0:2,"{'0:2': ['sil', 'O', 1]}","{0: ['sil', 'O', 1]}",{'0:2': '0:2'},{0: 0},['O'],[1],['O'],[1]
