,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
0,cheap restaurant,inform_pricerange,0,"['B-pricerange', 'O']","[0, 1]","['cheap', 'restaurant']","{'text': 'günstiges Restaurant', 'to': 'de', 'alignment': {'proj': '0:4-0:8 6:15-10:19'}}",1,günstiges Restaurant,0:4-0:8 6:15-10:19,"{'0:4': ['cheap', 'B-pricerange', 0], '6:15': ['restaurant', 'O', 1]}","{0: ['cheap', 'B-pricerange', 0], 6: ['restaurant', 'O', 1]}","{'0:8': '0:4', '10:19': '6:15'}","{0: 0, 10: 6}","['B-pricerange', 'O']","[0, 1]"
1,any,inform_this,1,['O'],[1],['any'],"{'text': 'jegliche', 'to': 'de', 'alignment': {'proj': '0:2-0:7'}}",1,jegliche,0:2-0:7,"{'0:2': ['any', 'O', 1]}","{0: ['any', 'O', 1]}",{'0:7': '0:2'},{0: 0},['O'],[1]
2,south,inform_area,2,['B-area'],[2],['south'],"{'text': 'Süden', 'to': 'de', 'alignment': {'proj': '0:4-0:4'}}",1,Süden,0:4-0:4,"{'0:4': ['south', 'B-area', 2]}","{0: ['south', 'B-area', 2]}",{'0:4': '0:4'},{0: 0},['B-area'],[2]
3,address,request_addr,3,['O'],[1],['address'],"{'text': 'Adresse', 'to': 'de', 'alignment': {'proj': '0:6-0:6'}}",1,Adresse,0:6-0:6,"{'0:6': ['address', 'O', 1]}","{0: ['address', 'O', 1]}",{'0:6': '0:6'},{0: 0},['O'],[1]
4,phone number,request_phone,4,"['O', 'O']","[1, 1]","['phone', 'number']","{'text': 'Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:11-0:12'}}",2,Telefonnummer,0:11-0:12,"{'0:4': ['phone', 'O', 1], '6:11': ['number', 'O', 1]}","{0: ['phone', 'O', 1], 6: ['number', 'O', 1]}",{'0:12': '0:11'},{0: 0},['O'],['O']
5,thank you good bye,bye__thankyou,5,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['thank', 'you', 'good', 'bye']","{'text': 'Vielen Dank auf Närt', 'to': 'de', 'alignment': {'proj': '0:4-0:5 10:13-7:10 10:13-12:14 15:17-16:19'}}",1,Vielen Dank auf Närt,0:4-0:5 10:13-7:10 10:13-12:14 15:17-16:19,"{'0:4': ['thank', 'O', 1], '6:8': ['you', 'O', 1], '10:13': ['good', 'O', 1], '15:17': ['bye', 'O', 1]}","{0: ['thank', 'O', 1], 6: ['you', 'O', 1], 10: ['good', 'O', 1], 15: ['bye', 'O', 1]}","{'0:5': '0:4', '7:10': '10:13', '12:14': '10:13', '16:19': '15:17'}","{0: 0, 7: 10, 12: 10, 16: 15}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
6,gastropub,inform_food,6,['B-food'],[3],['gastropub'],"{'text': 'gastropub', 'to': 'de', 'alignment': {'proj': '0:8-0:8'}}",1,gastropub,0:8-0:8,"{'0:8': ['gastropub', 'B-food', 3]}","{0: ['gastropub', 'B-food', 3]}",{'0:8': '0:8'},{0: 0},['B-food'],[3]
7,gastropub food,inform_food,6,"['B-food', 'O']","[3, 1]","['gastropub', 'food']","{'text': 'gastropub Essen', 'to': 'de', 'alignment': {'proj': '0:8-0:8 10:13-10:14'}}",1,gastropub Essen,0:8-0:8 10:13-10:14,"{'0:8': ['gastropub', 'B-food', 3], '10:13': ['food', 'O', 1]}","{0: ['gastropub', 'B-food', 3], 10: ['food', 'O', 1]}","{'0:8': '0:8', '10:14': '10:13'}","{0: 0, 10: 10}","['B-food', 'O']","[3, 1]"
8,what is the address,request_addr,3,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['what', 'is', 'the', 'address']","{'text': 'Wie lautet die Adresse', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:9 8:10-11:13 12:18-15:21'}}",1,Wie lautet die Adresse,0:3-0:2 5:6-4:9 8:10-11:13 12:18-15:21,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:18': ['address', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['address', 'O', 1]}","{'0:2': '0:3', '4:9': '5:6', '11:13': '8:10', '15:21': '12:18'}","{0: 0, 4: 5, 11: 8, 15: 12}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
9,sil,unknown,7,['O'],[1],['sil'],"{'text': 'Sil', 'to': 'de', 'alignment': {'proj': '0:2-0:2'}}",1,Sil,0:2-0:2,"{'0:2': ['sil', 'O', 1]}","{0: ['sil', 'O', 1]}",{'0:2': '0:2'},{0: 0},['O'],[1]
10,what is the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'is', 'the', 'phone', 'number']","{'text': 'Wie lautet die Telefonnummer?', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:28'}}",1,Wie lautet die Telefonnummer?,0:3-0:2 5:6-4:9 8:10-11:13 18:23-15:28,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:16': ['phone', 'O', 1], '18:23': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['phone', 'O', 1], 18: ['number', 'O', 1]}","{'0:2': '0:3', '4:9': '5:6', '11:13': '8:10', '15:28': '18:23'}","{0: 0, 4: 5, 11: 8, 15: 18}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
11,im looking for a cheap restaurant in the south part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['im', 'looking', 'for', 'a', 'cheap', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'Ich suche ein günstiges Restaurant im südlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:15-10:12 17:21-14:22 23:32-24:33 34:35-35:36 41:45-38:46 47:50-48:51 52:53-53:55 55:58-57:61'}}",1,Ich suche ein günstiges Restaurant im südlichen Teil der Stadt,0:1-0:2 3:9-4:8 15:15-10:12 17:21-14:22 23:32-24:33 34:35-35:36 41:45-38:46 47:50-48:51 52:53-53:55 55:58-57:61,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:21': ['cheap', 'B-pricerange', 0], '23:32': ['restaurant', 'O', 1], '34:35': ['in', 'O', 1], '37:39': ['the', 'O', 1], '41:45': ['south', 'B-area', 2], '47:50': ['part', 'O', 1], '52:53': ['of', 'O', 1], '55:58': ['town', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['cheap', 'B-pricerange', 0], 23: ['restaurant', 'O', 1], 34: ['in', 'O', 1], 37: ['the', 'O', 1], 41: ['south', 'B-area', 2], 47: ['part', 'O', 1], 52: ['of', 'O', 1], 55: ['town', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:15', '14:22': '17:21', '24:33': '23:32', '35:36': '34:35', '38:46': '41:45', '48:51': '47:50', '53:55': '52:53', '57:61': '55:58'}","{0: 0, 4: 3, 10: 15, 14: 17, 24: 23, 35: 34, 38: 41, 48: 47, 53: 52, 57: 55}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]"
12,i want a restaurant in the north part of town,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['i', 'want', 'a', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'Ich möchte ein Restaurant im nördlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:5-4:9 7:7-11:13 9:18-15:24 20:21-26:27 27:31-29:38 33:36-40:43 38:39-45:47 41:44-49:53'}}",1,Ich möchte ein Restaurant im nördlichen Teil der Stadt,0:0-0:2 2:5-4:9 7:7-11:13 9:18-15:24 20:21-26:27 27:31-29:38 33:36-40:43 38:39-45:47 41:44-49:53,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:7': ['a', 'O', 1], '9:18': ['restaurant', 'O', 1], '20:21': ['in', 'O', 1], '23:25': ['the', 'O', 1], '27:31': ['north', 'B-area', 2], '33:36': ['part', 'O', 1], '38:39': ['of', 'O', 1], '41:44': ['town', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['a', 'O', 1], 9: ['restaurant', 'O', 1], 20: ['in', 'O', 1], 23: ['the', 'O', 1], 27: ['north', 'B-area', 2], 33: ['part', 'O', 1], 38: ['of', 'O', 1], 41: ['town', 'O', 1]}","{'0:2': '0:0', '4:9': '2:5', '11:13': '7:7', '15:24': '9:18', '26:27': '20:21', '29:38': '27:31', '40:43': '33:36', '45:47': '38:39', '49:53': '41:44'}","{0: 0, 4: 2, 11: 7, 15: 9, 26: 20, 29: 27, 40: 33, 45: 38, 49: 41}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1]"
13,i dont care,inform_this,1,"['O', 'B-this', 'I-this']","[1, 4, 5]","['i', 'dont', 'care']","{'text': 'Ist mir egal', 'to': 'de', 'alignment': {'proj': '0:11-0:11'}}",3,Ist mir egal,0:11-0:11,"{'0:0': ['i', 'O', 1], '2:5': ['dont', 'B-this', 4], '7:10': ['care', 'I-this', 5]}","{0: ['i', 'O', 1], 2: ['dont', 'B-this', 4], 7: ['care', 'I-this', 5]}",{'0:11': '0:11'},{0: 0},"['B-this', 'I-this', 'I-this']",['O']
14,lebanese food,inform_food,6,"['B-food', 'O']","[3, 1]","['lebanese', 'food']","{'text': 'libanesisches Essen', 'to': 'de', 'alignment': {'proj': '0:7-0:12 9:12-14:18'}}",1,libanesisches Essen,0:7-0:12 9:12-14:18,"{'0:7': ['lebanese', 'B-food', 3], '9:12': ['food', 'O', 1]}","{0: ['lebanese', 'B-food', 3], 9: ['food', 'O', 1]}","{'0:12': '0:7', '14:18': '9:12'}","{0: 0, 14: 9}","['B-food', 'O']","[3, 1]"
15,italian food,inform_food,6,"['B-food', 'O']","[3, 1]","['italian', 'food']","{'text': 'italienisches Essen', 'to': 'de', 'alignment': {'proj': '0:6-0:12 8:11-14:18'}}",1,italienisches Essen,0:6-0:12 8:11-14:18,"{'0:6': ['italian', 'B-food', 3], '8:11': ['food', 'O', 1]}","{0: ['italian', 'B-food', 3], 8: ['food', 'O', 1]}","{'0:12': '0:6', '14:18': '8:11'}","{0: 0, 14: 8}","['B-food', 'O']","[3, 1]"
16,what is the address and phone number,request_addr__request_phone,9,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['what', 'is', 'the', 'address', 'and', 'phone', 'number']","{'text': 'Wie lautet die Adresse und Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:6-4:9 8:10-11:13 12:18-15:21 20:22-23:25 30:35-27:39'}}",1,Wie lautet die Adresse und Telefonnummer,0:3-0:2 5:6-4:9 8:10-11:13 12:18-15:21 20:22-23:25 30:35-27:39,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:10': ['the', 'O', 1], '12:18': ['address', 'O', 1], '20:22': ['and', 'O', 1], '24:28': ['phone', 'O', 1], '30:35': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['the', 'O', 1], 12: ['address', 'O', 1], 20: ['and', 'O', 1], 24: ['phone', 'O', 1], 30: ['number', 'O', 1]}","{'0:2': '0:3', '4:9': '5:6', '11:13': '8:10', '15:21': '12:18', '23:25': '20:22', '27:39': '30:35'}","{0: 0, 4: 5, 11: 8, 15: 12, 23: 20, 27: 30}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
